FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITDA,Trentino Alto Adige,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,69939,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITDA,Trentino Alto Adige,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1728199,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITDA,Trentino Alto Adige,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1798137,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,69939,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1392231,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1462170,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD2,Provincia Autonoma Trento,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,335968,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD2,Provincia Autonoma Trento,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,335968,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD3,Veneto,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,20194,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD3,Veneto,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1504678,,
